text,label
"The scenery is pretty and the dog is cute. Other than that, this film has absolutely nothing to recommend it. Jack Warden is pleasantly genial as usual, but the script is so awful that even he comes off badly. The plot makes no sense, the dialogue is dumb, and there are numerous smaller faults. But the dog is cute...",0
"I don't think most people give this movie as much credit as it deserves. I love low budget horror movies and this takes the cake, especially for originality. Yes the Scarecrow is a Kung-Fu fighting frightner, but why not? No one else is willing to go that far. I really haven't had this much fun watching a movie since Candyman. So the town picks on this one kid calling him scarecrow, even his mom doesn't care about him. Then he gets killed and the spirit is infused with in the Scarecrow, who then goes on a Killing spree. His demise is relatively easy to assume once the movie gets going. The dedications at the end go straight to a bunch of horror directors, but with most dedication towards Dario Argento really struck me as cool, these folks who wanna make movies of a newer genre. Over the movie has a lot of Arnold rip offs, with one liners you'll definitely laugh at like stick around and he kills the sheriff with a stick. I would say, grab a pizza some friends an laugh your A$$ off with this movie. I love it for its originality, most fun.",1
"This was a painful example of a cheap, boring and unoriginal show produced by Australian TV stations to fulfil local content quotas. The writing was truly terrible and I'm not surprised that the writers are those responsible for the worst Australian film in recent memory the Honerable Wally Norman.<br /><br />Nothing about this TV series was funny - ever - not even mildly amusing. It was just tired and BAD and, worst of all, it really thought it was funny. It was simply embarrassing to watch.<br /><br />There is something very suss about this show being given 10 out of 10 on IMDb. Try to find a (real) review by a (real) Australian viewer of the show (there weren't many) and it is impossible. Or crazy. There are loafs of bread that are funnier than this show. <br /><br />Avoid the show at all cost and if it does come out on DVD, remember that the laughter THAT deserves was unintentional.",0
"It must have been several years after it was released, so don't know why it was at the movies. But as a kid I enjoyed it. I just found a VHS tape of Superman and the Mole Men at the flea market and decided to watch it again (it's been a lot of years). I wasn't expecting much, now knowing how the B movies were made at that time. But I was pleasantly surprised to find the movie very watchable and the acting by all outstanding. Usual acting in these type movies leaves a lot to be desired. Surprisingly, the writing wasn't bad either. Forget the fact that Superman went from sequence to sequence and could have kicked all their butts in the beginning, because then the story would have ended, right?! OK, the mole men costumes were hokey and not very scary (they didn't even scare me as a kid). However, making allowances for the probable low budget for background and costumes, it was a job well done by all. I recognized the sheriff right away as The Old Ranger from Death Valley Days and plenty of supporting roles in TV westerns. J. Farrell MacDonald played old Pop and was always a great supporting actor in more movies than I can count. Walter Reed and Jeff Corey were familiar faces as well from other movies. Did you recognize the old doctor as the captain of the ship that went to get King Kong? Did you recognize the little girl rolling the ball to the mole men as Lisbeth Searcy in Old Yeller? Some of the mole men were famous too. Jerry Maren has played Mayor McCheese for McDonalds, Little Oscar Mayer, was the Munchkin that handed Dorothy the lollipop, was on a Seifeld episode and a wealth of other work. Billy Curtis played an unforgettable part with Clint Eastwood in High Plains Drifter, was one of the friends met by the star in Incredible Shrinking Man, he had a part in a movie I just luckily grabbed at a flea market titled My Gal Sal with Rita Hayworth, Wizard of Oz and plenty of other parts - great actor. John Brambury was also a Munchkin. Phillis Coates, who played Lois Lane in this movie, was without question wonderful in the part and George Reeves as Superman/Clark Kent WAS Superman. He did a great job of playing the strong man. Bottom line to all I've said is that this movie is worth watching because of the cast and writing in dealing with a pretty flimsy idea for a movie. But it was the 50's and anything was possible from intruders from outer space to mole men from inner space. It is definitely worth seeing, there isn't a bad actor in the group. Whomever put the cast together was very, very fortunate to get so many gifted actors into a B type film. Some already had a wealth of experience and some were about to obtain a wealth of experience - but all were gifted. So if you get a chance to see the film, forget the dopey costumes and just enjoy the excitement and acting. Is it a bird? Is it a plane? No, just a good, old fashioned movie to enjoy!",1
"All the ingredients of low-brow b-movie cult cinema. Topless (and bottomless) girls, kung-fu kicking chefs, slave traders, evil Germans with mustaches, Cameron Mitchell and sword-wielding zombies.<br /><br />And, of course the breasts of Camille Keaton, who's best known display occurs in the feminist exploitation classic I Spit on Your Grave. We also must mention the hooters of jewel Shepard, who play a hooker in the recent film The Cooler.<br /><br />Lots of blood and action with knives and swords and martial arts among topless dancers in a bar, in a whorehouse, and on a boat load of martial artists heading to some zombie island where bad martial artists go to die or something like that.<br /><br />Tops and bottoms come off easily and frequently as travelers are well lubricated thanks to the boat owner.<br /><br />Then disaster strikes as their boat is destroyed and they land on the zombie island where mas monks sacrifice young girls to the dead martial artists to bring them back to life.<br /><br />Just when you thought it had everything, there are piranhas in the water. Yum Yum A big fat German for dinner.<br /><br />Just the thing for your next zombie fest.",0
"A surprising rent at a local video store, I was pleased to find a media satire worthy enough to challenge Oliver Stone's ""Natural Born Killers."" And almost as disturbing. I think it went well with my viewing to be in late 2004 watching the Republican Machine do it's magic on the majority of America's television viewing populous. It brings up the question ""Are we really that manipulative?"" <br /><br />It definitely skewed my view. There was also a larger theological question being provoked- the story of Christ. Could word of mouth and overwhelming dependence on something exploitive as television produce a messiah? Could the story of Christ been exaggerated? Could it have been completely fabricated? It's something the movie puts in a extremely perceptive light.",1
"OK, first of all, ignore the last person' review. They admit to falling asleep through it so it's no wonder they didn't understand what was going on!!! As thriller/horrors go, this film ain't too bad, it is certainly very watchable. Right from the opening scenes you get a general idea exactly what is going to be the cause of all the craziness that follows, and come the end you are proved right with everything being made clear.<br /><br />I enjoyed this movie, it was quite eerie at times and as old films go it was passable. Great to watch late at night! I give it a generous 7 out of 10.",1
"Tremendous black--and-white nighttime cinematography, and plenty of it, highlights this supposedly-true life account of a 1950s murder in Kansas in which an entire family was wiped out by two men.<br /><br />The story was written by Truman Capote, so you get the very Liberal anti-death penalty message at the end of the film, which is ludicrous knowing the facts of this case. Robert Blake and Scott Wilson play the two atheist losers who have twisted outlooks on life and who unnecessarily murder this nice family. <br /><br />Despite the annoying slant at the end, this is a riveting story from the start and the cinematography makes this even more fascinating. Famed photographer Conrad Hall did a fantastic job on this. It makes me wish more modern-day films were made in black-and-white. See it on DVD.<br /><br />Blake, Wilson, John Forsythe, Jeff Corey and the entire supporting cast are excellent in here. My third viewing of this film came in early April of 2005, shortly after Blake, in real life, was pronounced innocent in the murder trial of his wife. One can't help but look at Blake and this film differently after that.",1
"To a certain extent, I actually liked this film better than the original VAMPIRES. I found that movie to be quite misogynistic. As a woman and a horror fan, I'm used to the fact that women in peril are a staple of the genre. But they just slap Sheryl Lee around way too much. In this movie, Natasha Wagner is a more fully-realized character, and the main bad guy is a gal! Arly Jover (who played a sidekick vamp in BLADE) is very otherworldly and deadly. Jon Bon Jovi... okay, yeah, no great actor, but he does OK. At least he doesn't start to sing. Catch it on cable if you can. It's on Encore Action this month.",1
"I can't say this is the worst movie ever made, but personally I think of it that way because when it was originally released in theaters, (1) the initial buzz was positive enough that my girlfriend insisted we go see it, and we actually STOOD IN LINE to get tickets, and (2) it's still the only ""serious"" film I recall where the audience started snickering at a certain point and basically laughed at the movie the rest of the way through. Once we reached the infamous (and interminable) snake fight scene, I think everyone gave up.<br /><br />The only positive I can concede is the lush location shooting. Oh, and there's also Bo's breasts, although her acting is so wooden that the nudity is unerotic and doesn't rate much more than a Playboy pictorial.<br /><br />The ""dramatic tension"" in this film is between Bo's terrible acting and her husband's horrible direction. The snake fight has to be one of the most incompetent ""action"" sequences ever filmed. However, this is one of those films that's bad enough, it may be worth watching on the level of unintentional humor. Definitely the worst film I ever paid to see.",0
"The week before I saw Iowa, I saw Art School Confidential, in which a pretentious student makes a film and can't decide whether he wants it to be art or violent exploitation. Iowa could be the film that he made. I can see elements of much better movies in Iowa - Spun and Natural Born Killers. However, in addition to artiness, both those movies had good character development and coherent story lines. Iowa. This movie stumbles to a preposterous end. I have to admit that it had consistency. This movie is bad from beginning to end and not particularly worse or better in any part. The actors all did what they could. Roseanna Arquette deserves better. She demonstrates that she is very talented, very funny, and very sexy. But why does she have to demonstrate it in this turd ball.",0
"I just saw Hot Millions on TCM and I had completely forgotten this gem. Ustinov creates a clever and divisive plot that has him cleverly going from two bit con man to ingenious... Well you'll see. Maggie Smith is perfect as the bumbling secretary/neighbor who has a tough time holding a job but has a warm and vibrant personality that beams through in this picture. She creates a fine portrayal of a warm, witty and real person who in the long run...well...<br /><br />Molden and Newhart as top executives take on the challenge of making what could be banal roles and make them come out into a comic life of their own. <br /><br />Robert Morley and Ceasar Romero are just a pleasure to see and I know at least in Romero's case Ustinov is extending a helping hand of work. <br /><br />This film is meant to be a shot back at the rising computer age and it's problems for the average con man or man for that matter but in fact the characters are so involving and so much fun to watch that the computer sub plot is almost lost...I say almost.<br /><br />Let down your usual expectations of modern comedy and look for the great performances and friendly, forgiving and deeply involving plot in this picture.",1
"I just got done watching ""Kalifornia"" on Showtime for the fourth time since I first saw it back in July of 2001. You would think that with the recent wave of serial killer films, that ""Kalifornia"" would be amongst some of the earlier films worthy of mention but hasn't. Perhaps if this film had been released sometime between like 1996-1999, maybe it might have been more successful. In my opinion, ""Kalifornia"" is much different from most serial killer films released during the late 1990s. It has an almost completely different atmosphere from most of today's serial killer films like ""Seven"" or ""The Bone Collector"". Many serial killer films have shown a killer but that person is always behind a mask or we never see enough of them to actually learn anything about them. ""Kalifornia"" is a film that actually tries to break through that barrier and actually understand the criminal mind. It tries to answer questions like ""why do they do the things they do? Is it because of something that happened in their past? Does it make them feel superior or powerful? Or do they do it because they like the thrill of the kill?"" These are some of the things that ""Kalifornia"" tries to answer but also leaves room for us to try and figure things out for ourselves. Brad Pitt makes an everlasting impression as Early Grayce. When we first meet Early in the beginning of the film, we see that he is obviously one disturbed individual. When we first see him, it's late at night. Early is possibly drunk. We then see him pick up a rock, throw it off a bridge, and it later lands on the windshield of a passing car. Pitt is fierce in this film. It is always good to see him when he plays psychos or really bad people. It's funny that this would later lead him play a true loon like in ""12 Monkeys"" and that he would be on the other end of the spectrum in David Fincher's ""Seven"".",1
"Wow! So much fun! Probably a bit much for normal American kids, and really it's a stretch to call this a kid's film, this movie reminded me a quite a bit of Time Bandits - very Terry Gilliam all the way through. While the overall narrative is pretty much straight forward, Miike still throws in A LOT of surreal and Bunuel-esquire moments. The whole first act violently juxtaposes from scene to scene the normal family life of the main kid/hero, with the spirit world and the evil than is ensuing therein. And while the ending does have a bit of an ambiguous aspect that are common of Miike's work, the layers of meaning and metaphor, particularly the anti-war / anti-revenge message of human folly, is pretty damn poignant. As manic and imaginatively fun as other great Miike films, only instead of over the top torture and gore, he gives us an endless amount of monsters and yokai from Japanese folk-lore creatively conceived via CG and puppetry wrapped into an imaginative multi-faceted adventure. F'n rad, and one of Miike's best!",1
"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",0
"How many fricken' times do we have to see a spook walking by in the background & peaking through a mirror's reflection? It's been done in two dozen movies in recent memory & four dozen times in this choppy, poorly done film. There were only two freaky moments to appreciate....when the ghosts invaded the personal spaces of two characters. Speaking of characters, the acting was as flat as the Diet Coke in the 64 oz. cup I was drawing it from. The side characters could have been pulled from various Scooby Doo cartoons. There was the friendly, aged sheriff. There was the kooky weirdo living in the backwoods with the Alabama drawl. Lots'o'characters with no development. The most disturbing image was that of a murdered child in the beginning. But rather than explore the child's murder, which would have been interesting, they just let us know that she was dead & her parents had a hard time reconciling her death with the community & each other. When they reach the cabin, the scenes rarely flowed together....with flashing images of the dead daughter interjected here & there. Oh...and the eerie sounds were also overdone. You know what I mean....creaking doors that open by themselves, crickets in the forest, yada yada yada. Ooooohhhh. Haven't seen that before. Again, you'll see the amazing self-opening door in the movie over and over an over again. NOTE TO DIRECTOR: a scary scene is only scary if it's not repeated every 5 minutes in the same film. Think these things out before calling out ""it's a wrap!""",0
"this was the best bonnie and clyde movie i have seen. it has more accurate accounts of what happened and while it doesnt glorify their crimes it casts the pair in a normal light. i give this movie a 10. it has great actors,realistic scenes and excellent writers.",1
"I really enjoyed this debut by Ring director, Hideo Nakata. If you've seen Ring beforehand then you'll be familiar with the style and idea of this flick. It's got a subtle spookiness about it that works better than the constant (and predictable) stingers that infest most mainstream movies of this genre. If you like films that give you the chills, then you will probably like this one. A good, creepy debut by Hideo Nakata. 8/10",1
"The kids I took to this movie loved it (four children, ages 9 to 12 years; they would have given it 10 stars). Emma Roberts was adorable in the title role. (Expect to see more of this next-generation Roberts in the future.) After being over exposed to the likes of Britney Spears, Lindsay Lohan, and Paris Hilton, it was refreshing to see a girl who didn't look like she worked the streets. Also enjoyed seeing a supporting cast that included Tate Donovan, Rachel Leigh Cook, Barry Bostwick, and Monica Parker (with a cameo by Bruce Willis). Final takeaway: Cute film.<br /><br />(Note: I did not read the book series, so my comments are based on the merits of the film alone.)",1
"A recent post here by a woman claiming a military background, contained the comment ""A woman's life is no more valuable than a man's"".<br /><br />This mantra of the politically correct is not true as history as well as biology show. Societies have managed to recover from heavy losses of their male population, sometimes with astonishing speed. Germany was ready to fight another war in 1939 despite the 1914- 1918 war in which over two million of her men were killed. In South America's War of the Triple Alliance (1865), Paraguay took on three neighboring countries until virtually her entire male population was wiped out but fought to a stalemate in the 1932 Chaco War against much larger Bolivia.<br /><br />No society, however has or ever could survive the loss of its female population. Only when the very life of the nation is at stake are women sent to fight. Israel faced that situation in 1948 but since then has never considered coed combat units for its Defense Forces despite the popular image of the Israeli girl soldier.<br /><br />""G.I. Jane"" is Hollywood fluff.",0
Interesting way of looking at how we as humans so often behave we are sometimes blinded by our desire to achieve perfection that we some times destroy the foundation of what we are trying to achieve. It also addresses the issue how we tend to ignore those among us who are not as outspoken and by doing this may miss out on a great opportunity. The injection of comedy also makes watching the film an enjoyable experience..A must see for anyone who is interested in a reflective yet comical look at life. I am eagerly looking forward to your next product.Hope that you will continue to provide us with quality entertainment. Excellent work ......Joanne,1
"As a history nut who is particularly interested in this particular historical event, I was very disappointed with the movie. Granted, the costumes and staging was quite authentic, but the Hollywood portrayal of this ""British Little Big Horn"" was truly boring.<br /><br />The amount of film footage dedicated to marching or parading troops has to have been unprecedented in film history. Eveytime I heard triumphant background music begin, I knew I had to prepare myself for another laborious scene of meaningless filler. Obviously, the producers had invested heavily into ""staging"" and were determined to get their money's worth.<br /><br />Despite the outstanding cast, their dialogue was, again, boring and their characters were never developed. Whenever Peter O'toole or Burt Lancaster finished a scene, I would cringe with disappointment. Their given lines were so weak and meaningless that I could hardly believe these were the same two great actors who portrayed Lawrence of Arabia and the Bird Man of Alcatraz respectively.<br /><br />There are worse epics, but this one is not much better.",0
"I just sat through a very enjoyable fast paced 45 mins of ROLL.<br /><br />Roll is about a country boy, Mat (Toby Malone) who has dreams of becoming a Sports Star. Mat travels to the city and is to be picked up by his cousin George (Damien Robertson). Well, that was the plan anyway. George is involved with a gangster, Tiny (John Batchelor) and is making a delivery for him. Needless to say, Mat gets dragged into George's world. <br /><br />I thought it was great how Mat teaches George some morals and respect while George teaches Mat how to relax and enjoy life a little. Toby and Damien were well cast together and did an outstanding job.<br /><br />Every character in the movie complimented each other very well, the two cops were great. David Ngoombujarra brought some great comic relief to the movie. Tiny played a likable gangster that reminded me of one of my favourite characters 'Pando' from Two Hands.<br /><br />One of the other things that I liked about Roll was that it showcased the cities that I grew up and lived in for 20 years, Perth and Fremantle. It was good to see sights and landmarks that I grew up with, especially the old Ferris wheel.<br /><br />This Rocks 'n' Rolls",1
"When I go to see a movie about zombie's, I'm not expecting oscar calibre performances, or writing on the level of The Godfather, but I do expect the actors to at least not look like their straining to read their cue cards, and dialogue that doesn't sound like it was typed out 10 minutes before the actor reads it into the camera. This movie was just awful, I actually got up and left about 25 minutes in and went next door and watched Cold Creek Manor, that wasn't very good either, but it seemed like Citizen Kane compared to this pile of crap. On the plus side, the girls were very pretty, that's probably the only thing that kept me in my seat for longer than the first 5 minutes, in fact I left after the hottest one got killed, there wasn't anything to hold my interest after that.",0
"The US State Dept. would not like us to see this movie, because they have a beef with the Iranian govt. However, it shows us just how civilized Iran really is, despite the content of the film, which centers on the struggle of women there for equal rights in the simplest of terms: the ability to watch a soccer game at the stadium, which is strictly limited to male audiences alone. The film is hilariously funny, and in and of itself is proof of freedom of speech and expression in Iran. I enjoyed this movie intensely. Five girls try to penetrate the police border at the ticket gates to a soccer match between Iran and Bahrain. The ensuing comedy is too funny to describe, from the bus trip to the stadium, to the interceding of the police and subsequent detention of the girls, to the resulting end. Don't miss this classic film. Its a MUST see. One of the best foreign films I've seen in years.",1
"Sorry - this movie is just a cheap TV-Production. I saw very much promotion Material and expect a professionell Movie like ""Stormriders"" - what i was presented was a Low-Budget-Movie like ""XENA"" or ""Hercules"" on TV. No Atmosphere, very boring, more then worse Fight-Scenes. Some good ideas - not more. I hope i will get the Chance to make a movie like this and then i show how to do such a movie!!!<br /><br />My ASIAN-Tips: ""MUSA - THE WARRIOR"", ""STORMRIDERS"", ""SHAOLIN SOCCER"", ""BATTLE ROYAL"", ""VERSUS"", etc.<br /><br />Sorry for my bad English!",0
"This 2004 Oscar nominee is a very short b/w film in Spanish. A young woman goes into a café, gets a coffee, and notices a couple of musicians standing silently with their instruments. All the patrons are motionless, like mannequins. One guy, however, is quite jolly and breaks into a song about what goes on at 7:35 in the morning. There is one surprising moment after another until the end which is quite, well, surprising. The people, the place, everything looks quite ordinary. And like the musical piece ""Bolero"", the thing keeps building until the climax. With its structure, theme,movement and wit,it is an 8 minute masterpiece.",1
